10.16.1.108,ELK-Data4
10.16.1.109,darman-service-jboss
10.16.1.110,Sata-Setab
10.16.1.111,Monitoring-Controller
10.16.1.112,VOIP1
10.16.1.113,asa
10.16.1.114,Profile-Service-Dis-NSX
10.16.1.115,Replicafetch2
10.16.1.116,MasterDB-Node1-VIP
10.16.1.117,MasterDB-Node2-VIP
10.16.1.118,MasterDB-Node3-VIP
10.16.1.119,RDG
10.16.1.120,RHWEBSRV3
10.16.1.121,IMA(imasset.tamin.ir)
10.16.1.122,centralized-budget-Dis-F5
10.16.1.123,SABA-Sync
10.16.1.124,SDWAN-1
10.16.1.125,SDAWN-2
10.16.1.126,
10.16.1.127,AsnadApp-N3
10.16.1.128,Darman-Service-Win-F5
10.16.1.129,ثبتاحوال-انفرادی
10.16.1.130,mikrotik sazman-herasat
10.16.1.131,ثبتاحوال-دستهای
10.16.1.132,Sata-Setab(NEW)
10.16.1.133,Microtik Sazman Baraye Herasat
10.16.1.134,Microtik Sazman Baraye Herasat
10.16.1.135,ipmonitor-wan
10.16.1.136,Me-Service-Dis-F5
10.16.1.137,معاونتحقوقی(قوانینومقررات)
10.16.1.138,AsanadApp-N4
10.16.1.139,AsnadAPP-N8
10.16.1.140,Fortigate-SSO
10.16.1.141,سرویسFTPجهتمعاونتفرهنگیسازمان
10.16.1.142,????
10.16.1.143,DC-SDWAN
10.16.1.144,mc-test
10.16.1.145,lan-branch-monitor(salimzade)
10.16.1.146,Samt-Dis-F5
10.16.1.147,TibaCenter-node1
10.16.1.148,TibaCenter-node2
10.16.1.149,TibaCenter-node3
10.16.1.150,TibaCenter-node4
10.16.1.151,SBC(FirewallDeviceForVoipRaziee)
10.16.1.152,TibaCenter-node6
10.16.1.153,darmanservice(JBOSS)
10.16.1.154,TibaCenter-node7
10.16.1.155,Electorder-Dis-F5
10.16.1.156,CloudInsApp
10.16.1.157,TibaCenter-node5
10.16.1.158,ELK-Data4
10.16.1.159,Incoming
10.16.1.160,(بودجهوتشکیلات)BoodjeSSO
10.16.1.161,رضاییسازمان
10.16.1.162,172.18.200.44
10.16.1.163,سازمانPMO
10.16.1.164,internetpayment(ssopay.tamin.ir)
10.16.1.165,PRTG-SQL-WAN
10.16.1.166,AsanadApp-N5
10.16.1.167,VideoConference
10.16.1.168,VideoConference
10.16.1.169,Gaam
10.16.1.170,AsanadApp-N6
10.16.1.171,Mozmen-system
10.16.1.172,assetview
10.16.1.173,Account-Service-Dis-F5
10.16.1.174,سرورمعاونتاقتصادی
10.16.1.175,vcwan-darmna2
10.16.1.176,Wan-Monitoring3
10.16.1.177,
10.16.1.178,asnadapp-n1
10.16.1.179,dabirtest.tamin.ir
10.16.1.180,مورداستفادهسازمانجهتدبیرخانهنظامپیشنهاداتاستانها
10.16.1.181,strdb0-node1-VIP
10.16.1.182,strdb0-node2-VIP
10.16.1.183,strdb0-node3-VIP
10.16.1.184,claim-operation
10.16.1.185,اپلیکیشنادارههیأتهایتشخیصمطالباتسازمان
10.16.1.186,webserver2
10.16.1.187,
10.16.1.188,sata-service
10.16.1.189,سرورپایلوتادارهکلبودجهوتشکیلات.جهتسرویسبودجهریزیبرمبنایعملکرد(ادارهکلبودجهوتشکیلات)
10.16.1.190,
10.16.1.191,
10.16.1.192,construction-workers(Insjobles-kar)
10.16.1.193,AsnadApp-N7
10.16.1.194,sharepointserverسمتسازمان
10.16.1.195,Najafi + Bagheri jahate test
10.16.1.196,Test-Appi-Marjanhoseini
10.16.1.197,Ex-iranian
10.16.1.199,
10.16.1.200,معاونتاقتصادی
10.16.1.201,معاونتاقتصادی
10.16.1.202,CRM-Mon
10.16.1.203,DanaAPP(رضاییسازمان)
10.16.1.204,WSUSWAN
10.16.1.205,NCM
10.16.1.206,wanvc6-darman
10.16.1.207,Server-Webex-SSO(Raziee)
10.16.1.208,SataSetab
10.16.1.209,SOA-Dis-NSX
10.16.1.210,codingbase.tamin.org
10.16.1.211,ASA
10.16.1.212,WAN-Rightel
10.16.1.213,wandc1.tamin.tnet
10.16.1.214,Darman-Refah
10.16.1.215,wandc2.taminnet.ir
10.16.1.216,
10.16.1.217,سرورفیشحقوقیسازمان
10.16.1.218,
10.16.1.219,kasper-T
10.16.1.220,cbudgetdb
10.16.1.221,me-report
10.16.1.222,Darman-Dis-F5
10.16.1.223,ssocrm-portal1.ss.org
10.16.1.224,EPService-Dis-NSX
10.16.1.225,Fortigate-SSO
10.16.1.226,approval(softpm-hardpm)
10.16.1.227,wan-monitoring2
10.16.1.228,SupSysApp-N1.TaminWan.Tnet
10.16.1.229,SupSysApp-N2.TaminWan.Tnet
10.16.1.230,Splunk-RouterLog
10.16.1.231,CentralPay
10.16.1.232,‌‌Bi12APP1
10.16.1.233,citrix-sazman
10.16.1.234,CUCM
10.16.1.235,CUP
10.16.1.236,CUC
10.16.1.237,doc-classify.tamin.org
10.16.1.238,SAM-WAN
10.16.1.239,Inspection-Dis-F5
10.16.1.240,UseforASANAT
10.16.1.241,kasper-r2
10.16.1.242,insmis.tamin.ir(Fani_daramad-DB-NSX
10.16.1.243,TEST
